date,bases,open_access_bases,bytes,open_access_bytes
"07/29/2016",5579240870251567,3412947230563014,3398083042997307,2190052893656029
"07/30/2016",5581846956443850,3415553316755297,3399641664162208,2191611514820930
"07/31/2016",5583561519964460,3417267880275907,3400694186830307,2192664037489029
"08/01/2016",5593739368330588,3423197144132906,3406302599487096,2196171489096252
"08/02/2016",5596788072473658,3426244877972776,3408260902502770,2198129319806830
"08/03/2016",5600003229855136,3429460035354254,3410197726986486,2200066144290546
"08/04/2016",5601807378814532,3431213488435674,3411146026758512,2200986757366990
"08/05/2016",5607002475477550,3435405435785013,3413480679031468,2202609841442081
"08/06/2016",5609704572716925,3436324903030651,3415330326103147,2203132830292487
"08/07/2016",5612394589986477,3439014920300203,3417084225850534,2204886730039874
"08/08/2016",5614850522866253,3441470853179979,3418387610003275,2206190114192615
"08/09/2016",5633973082310488,3446050296152366,3429381893957319,2209431440489389
"08/10/2016",5712623594613950,3463662301804951,3467817131573358,2218770503250833
"08/11/2016",5715282747205572,3466321454396573,3469016320580447,2219969692257922
"08/12/2016",5722337568957996,3473376276148997,3473760179304919,2224713550982394
"08/13/2016",5723971830017589,3475010537208590,3474646337331360,2225599709008835
"08/14/2016",5725672634736331,3476711341927332,3475881887117297,2226835258794772
"08/15/2016",5728497372521476,3479224327891747,3477464940658605,2228232458554570
"08/16/2016",5734690056064072,3485411236564009,3480447597752968,2231212601107254
"08/17/2016",5739950616605826,3490671797105763,3482971819468166,2233736822822452
"08/18/2016",5741167733099296,3491888913599233,3483703052741349,2234468056095635
"08/19/2016",5744263075135356,3494984255635293,3485444154013573,2236209157367859
"08/20/2016",5746874228197516,3497595408697453,3486891875836229,2237656879190515
"08/21/2016",5747456697639865,3498177878139802,3487211997103269,2237977000457555
"08/22/2016",5748846477917060,3499567658416997,3487921578420054,2238686581774340
"08/23/2016",5756486584877929,3502228438125984,3492899704752086,2240368191178163
"08/24/2016",5761992427867450,3507734281115505,3496370543436743,2243839029862820
"08/25/2016",5766392670315780,3512134523563835,3499289142255595,2246757628681672
"08/26/2016",5771866304953160,3517608158201215,3502705837225059,2250174323651136
"08/27/2016",5772915105134638,3518656958382693,3503395135727861,2250863622153938
"08/28/2016",5774506041911341,3520247895159396,3504301825872992,2251770312299069
"08/29/2016",5781660327772176,3527402181020231,3508153617048522,2255622103474599
"08/30/2016",5788193366599214,3533935219847269,3512059838388102,2259528324814179
"08/31/2016",5803230643802183,3539426627178722,3519204316627238,2262439577113004
"09/01/2016",5814700655761497,3547676176126129,3525735940186049,2267368057234880
"09/02/2016",5824296506983053,3556286331297855,3531718779402326,2272857603476428
"09/03/2016",5830894527886709,3562884352201511,3535334974932472,2276473799006574
"09/04/2016",5836129994831859,3568119819146661,3537992947844112,2279131771918214
"09/05/2016",5842392857433615,3574368542161673,3541164565762454,2282295934575174
"09/06/2016",5852678062546549,3584653747274607,3546459735126953,2287591103939673
"09/07/2016",5861561769031565,3593537453759623,3551270959894391,2292402328707111
"09/08/2016",5866532109991084,3595582392877270,3553927581513213,2293596285040747
"09/09/2016",5871668509575866,3600475686762146,3556763767081542,2296309522607756
"09/10/2016",5875322972038488,3604130149224768,3558617863051158,2298163618577372
"09/11/2016",5880770242391536,3609577419577816,3561271483954167,2300817239480381
"09/12/2016",5888304838614501,3611884595219967,3564994227875509,2301891371051805
"09/13/2016",5890267345806530,3613610704402848,3566088479437810,2302866768645878
"09/14/2016",5893822682936631,3617127125007213,3568026722816690,2304785055186008
"09/15/2016",5898963019054026,3621249395176832,3570769979049718,2307082727206841
"09/16/2016",5900109501835446,3622395877958252,3571391553424434,2307704301581557
"09/17/2016",5900833673963733,3623120050086539,3571837069530458,2308149817687581
